,Nama Produk,Harga Awal,Harga Discount,Banyaknya Terjual
101,Tepung Takoyaki Premix Instan 480gr,Rp 23.999,Rp 18.400,0 TERJUAL
102,Panacea Whitez Lotion,Rp 14.500,Rp 13.900,1 TERJUAL
103,Benchmade Folding Comb,Rp 60.000,Rp 59.300,0 TERJUAL
104,Xiaomi Redmi Note 9 Pro 6GB+64GB Snapdragon720G Grey (Free Bigetron Case),Rp 3.499.000,Rp 3.098.000,67 TERJUAL
105,Dove Hair Growth Ritual Conditioner 160ml,Rp 27.000,Rp 14.700,3 TERJUAL
106,Ornamen Topper Kue Desain Kartun Singa Bahan Polymer,Rp 48.317,Rp 15.732,0 TERJUAL
107,Salonpas Koyo Pereda Nyeri (10 Sachet/Box),Rp 63.500,Rp 58.000,0 TERJUAL
108,Sarwendah Juice 350ml,Rp 175.000,Rp 173.100,16 TERJUAL
109,Bohlam Halogen Philips H4 12V 60-55W,Rp 24.000,Rp 22.999,10 TERJUAL
110,Kerupuk Seblak,Rp 12.500,Rp 7.500,7 TERJUAL
111,Cajun Spice Mix (55gr x 3pcs),Rp 33.000,Rp 28.500,0 TERJUAL
112,M231 Kemeja Pria Batik Pendek Warna Hitam 1670,Rp 449.000,Rp 138.999,3 TERJUAL
113,Little Giant Character Silicone Spoon Sendok Bayi,Rp 50.000,Rp 33.250,1 TERJUAL
114,Dumbbell Sit Up Bench Fitness,Rp 1.000.000,Rp 804.500,3 TERJUAL
115,Sepatu Sneakers Hollow Breathable Warna Terang,Rp 300.000,Rp 195.000,6 TERJUAL
116,Sleek Baby Bottle Nipple & Accessories Cleanser Pouch 450ml + Laundry Detergent Pouch 450ml,Rp 62.700,Rp 48.000,3 TERJUAL
117,Myqueen Dress Mini A-Line V-Neck Lengan Pendek,Rp 215.580,Rp 119.680,8 TERJUAL
118,(Paket) Flek Whitening Wajah,Rp 124.888,Rp 122.640,29 TERJUAL
119,Jas Hujan Setelan Paramount Scotchlight,Rp 43.999,Rp 39.300,66 TERJUAL
120,Kelfi Setelan Baju Anak Perempuan 1-8 Tahun Pony Edition,Rp 22.900,Rp 19.107,SEGERA HABIS
121,Hyouka 5: Approximating Distance Between Two People,Rp 93.000,Rp 67.000,1 TERJUAL
122,Kartu Ucapan Natal Bentuk Hati,Rp 10.000,Rp 87,0 TERJUAL
123,Baellerry Dompet,Rp 99.000,Rp 24.999,4 TERJUAL
124,Jurus Sehat Rasulullah Karya Dr Zaidul Akbar,Rp 99.000,Rp 64.900,6 TERJUAL
125,Blackmores I-Folic 150 Tablet,Rp 153.000,Rp 148.900,11 TERJUAL
126,Kantong Ziplock Holder Masker,Rp 20.919,Rp 88,19 TERJUAL
127,Set Pistol Semprot Cat Udara,Rp 540.000,Rp 450.000,0 TERJUAL
128,Snapback T-Shirt Barong,Rp 149.900,Rp 99.900,0 TERJUAL
129,Kain Lap Chamois Kanebo Jumbo,Rp 5.500,Rp 5.100,SEGERA HABIS
130,Ulanzi VL49 LED Built-In Battery,Rp 145.000,Rp 108.000,13 TERJUAL
